,Area,Channel,LSUID,Subbasin,lsu_id,region
1,34.44,1,10,11,1,IMP
2,5.25,2,20,11,2,IMP
3,368,3,30,11,3,IMP
4,1859.25,4,40,9,4,IMP
5,197.63,5,50,9,5,IMP
6,23.38,6,60,9,6,IMP
7,941.69,7,70,9,7,IMP
8,752.38,8,80,9,8,IMP
9,48.88,9,90,3,9,CRB
10,6216.63,10,100,1,10,IMP
11,4589.31,11,110,3,11,DTH
12,20.44,12,120,3,12,IMP
13,2579.44,13,130,4,13,CRB
14,5041.56,14,140,1,14,IMP
15,1914.13,15,150,2,15,DTH
16,438.63,16,160,5,16,IMP
17,1553.94,17,170,4,17,CRB
18,43.31,18,180,5,18,DTH
19,234.19,19,190,5,19,IMP
20,405.5,20,200,4,20,DTH
21,907.69,21,210,2,21,IMP
22,845.13,22,220,2,22,IMP
23,528.75,23,230,4,23,DTL
24,371.94,24,240,5,24,IMP
25,35.06,25,250,5,25,IMP
26,1336.56,26,260,5,26,IMP
27,4340.44,27,270,3,27,IMP
28,1239.81,28,280,4,28,DTH
29,349.94,29,290,10,29,CRB
30,3482.69,30,300,1,30,IMP
31,62.88,31,310,4,31,CRB
32,2592.44,32,320,6,32,DTH
33,1326.5,33,330,5,33,IMP
34,950.25,34,340,1,34,IMP
35,4019.38,35,350,2,35,IMP
36,488,36,360,7,36,IMP
37,24.13,37,370,3,37,IMP
38,122.63,38,380,7,38,IMP
39,1063.94,39,390,4,39,DTL
40,1479.13,40,400,2,40,IMP
41,3745.56,41,410,5,41,IMP
42,1438.94,42,420,3,42,IMP
43,46,43,430,7,43,IMP
44,3774.56,44,440,4,44,DTL
45,218.13,45,450,4,45,CRB
46,2334.94,46,460,7,46,IMP
47,1663.13,47,470,1,47,IMP
48,2221.13,48,480,3,48,IMP
49,3751.69,49,490,8,49,CRB
50,1105.94,50,500,4,50,CRB
51,2546.19,52,520,1,51,IMP
52,146.38,53,530,5,52,IMP
53,1673.56,54,540,2,53,IMP
54,422.56,55,550,1,54,IMP
55,312.44,56,560,8,55,CRB
56,5802.69,57,570,6,56,DTL
57,3295.5,58,580,4,57,DTL
58,2059.63,59,590,7,58,IMP
59,2.75,60,600,9,59,IMP
60,435.56,61,610,3,60,IMP
61,784.38,62,620,4,61,DTL
62,154.31,63,630,4,62,DTL
63,359.38,64,640,2,63,DTL
64,764.94,65,650,9,64,IMP
65,165.75,66,660,3,65,IMP
66,3522.38,67,670,10,66,DTL
67,2271.94,68,680,5,67,IMP
68,1575.63,69,690,1,68,CRB
69,69.06,70,700,2,69,DTL
70,78.44,71,710,5,70,DTH
71,338.44,72,720,5,71,IMP
72,433.38,73,730,3,72,IMP
73,2840.81,74,740,8,73,CRB
74,1601.81,75,750,14,74,DTL
75,1686.56,76,760,14,75,DTL
76,2202.31,77,770,9,76,IMP
77,1733.75,78,780,11,77,IMP
78,1473.94,79,790,9,78,IMP
79,1442,80,800,10,79,DTL
80,2323.13,81,810,3,80,IMP
81,1881.44,82,820,10,81,CRB
82,3422.88,83,830,5,82,IMP
83,1417.56,84,840,6,83,CRB
84,1950.75,85,850,9,84,IMP
85,2160.81,86,860,8,85,CRB
86,2958.13,87,870,9,86,IMP
87,1463,88,880,10,87,CRB
88,1544.06,89,890,5,88,IMP
89,2304.06,90,900,10,89,DTL
90,2841.5,91,910,4,90,CRB
91,1586.06,92,920,5,91,IMP
92,2248.31,93,930,3,92,DTH
93,2583,94,940,8,93,CRB
94,2007.44,95,950,2,94,DTH
