Area,Channel,LSUID,Subbasin,Landscape,%Subbasin,Category,Slope,Len1,Csl,Wid1,Dep1,Lat,Lon,Elev,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_10,HISTO_NODA
2570.75,"133","1330","1",NA,4.7,"0",10.91,9478.31,2.14,9.05,0.48,41.27,-3.20,1377.95,0,225,29,151,0,6
4040.00,"138","1380","2",NA,12.1,"0",9.10,7568.38,0.91,11.87,0.57,41.27,-2.91,1139.48,7,146,0,477,0,13
1484.25,"137","1370","1",NA,2.7,"0",10.00,6725.18,2.82,6.51,0.38,41.27,-3.15,1384.43,0,53,30,157,0,2
2660.38,"135","1350","1",NA,4.9,"0",12.59,8433.03,1.89,9.24,0.48,41.25,-3.12,1417.72,0,290,1,134,0,0
1530.75,"136","1360","2",NA,4.6,"0",14.52,6540.56,5.16,6.63,0.39,41.26,-2.98,1209.30,0,123,0,119,0,5
3386.44,"128","1280","3",NA,8.4,"0",20.98,7828.00,4.43,10.68,0.53,41.24,-3.06,1345.42,12,286,49,194,0,3
2662.25,"129","1290","1",NA,4.9,"0",14.38,7325.49,5.12,9.24,0.48,41.24,-3.26,1402.51,162,78,84,99,0,2
5554.94,"127","1270","4",NA,11.5,"0",13.95,8178.74,1.69,14.37,0.65,41.23,-2.84,1112.45,54,293,10,530,0,1
2141.44,"131","1310","2",NA,6.4,"0",16.38,7457.29,4.81,8.11,0.44,41.24,-3.01,1227.47,9,119,6,204,0,0
2519.56,"134","1340","4",NA,5.2,"0",12.79,6169.11,3.62,8.94,0.47,41.24,-2.73,1044.05,0,80,0,316,2,7
3213.56,"132","1320","1",NA,5.9,"0",31.65,6300.18,9.63,10.35,0.52,41.24,-3.34,1535.29,462,0,40,6,0,7
1575.63,"69","690","1",NA,2.9,"0",12.03,5971.32,4.74,6.75,0.39,41.23,-3.18,1383.39,48,145,58,0,0,0
1692.50,"126","1260","4",NA,3.5,"0",13.62,7083.02,3.38,7.04,0.40,41.23,-2.78,1071.61,0,99,0,168,0,2
1739.88,"130","1300","4",NA,3.6,"0",12.09,7308.02,2.47,7.16,0.41,41.23,-2.64,1143.77,0,215,0,48,0,15
359.38,"64","640","2",NA,1.1,"0",11.34,2495.28,1.87,2.78,0.22,41.24,-2.96,1099.94,7,0,0,52,0,0
2668.94,"124","1240","1",NA,4.9,"0",38.17,7625.18,7.58,9.26,0.48,41.22,-3.35,1594.06,410,0,15,0,0,1
2041.94,"122","1220","2",NA,6.1,"0",15.50,5824.14,3.13,7.88,0.43,41.21,-2.91,1112.21,207,2,5,115,0,0
422.56,"55","550","1",NA,0.8,"0",17.68,3172.79,5.13,3.06,0.23,41.23,-3.21,1338.30,48,6,12,1,0,0
3661.81,"125","1250","3",NA,9.0,"0",16.91,8270.89,5.53,11.19,0.55,41.21,-3.13,1399.77,391,44,32,116,0,0
1673.56,"54","540","2",NA,5.0,"0",14.16,5806.98,3.15,6.99,0.40,41.21,-2.96,1103.21,186,0,0,79,0,0
2204.63,"123","1230","4",NA,4.6,"0",13.14,9507.60,2.51,8.25,0.45,41.20,-2.64,1110.55,0,225,7,114,0,6
154.31,"63","630","4",NA,0.3,"0",14.64,1351.04,4.02,1.67,0.15,41.22,-2.69,1000.50,0,4,0,21,0,0
3295.50,"58","580","4",NA,6.8,"0",16.79,6643.07,3.11,10.50,0.53,41.19,-2.71,1016.44,1,93,26,406,0,0
2221.13,"48","480","3",NA,5.5,"0",26.14,4141.29,6.85,8.29,0.45,41.20,-3.00,1219.89,340,0,0,16,0,0
1663.13,"47","470","1",NA,3.0,"0",25.71,6510.23,6.31,6.97,0.40,41.20,-3.22,1425.16,261,0,6,0,0,0
2546.19,"52","520","1",NA,4.7,"0",29.57,6614.82,6.68,9.00,0.47,41.19,-3.28,1502.19,395,0,14,0,0,0
6994.44,"120","1200","5",NA,11.3,"0",40.46,7759.80,8.66,16.50,0.71,41.17,-3.39,1529.53,1020,0,97,0,0,4
3774.56,"44","440","4",NA,7.8,"0",19.12,5455.20,3.56,11.39,0.56,41.18,-2.78,1031.17,96,118,14,379,1,0
1885.63,"119","1190","2",NA,5.6,"0",15.35,7117.34,4.86,7.51,0.42,41.18,-2.89,1112.74,111,6,21,165,0,0
3310.31,"121","1210","3",NA,8.2,"0",28.68,12438.67,4.37,10.53,0.53,41.18,-3.06,1429.35,534,0,0,0,0,0
3470.94,"118","1180","1",NA,6.4,"0",36.94,9016.91,5.26,10.84,0.54,41.17,-3.28,1566.02,512,0,46,0,0,0
950.25,"34","340","1",NA,1.7,"0",35.09,2546.02,15.74,4.98,0.32,41.18,-3.21,1344.62,151,0,5,0,0,0
1479.13,"40","400","2",NA,4.4,"0",23.84,4933.45,5.01,6.50,0.38,41.18,-2.95,1128.25,210,0,0,26,0,0
6012.50,"116","1160","4",NA,12.5,"0",14.73,8459.07,4.42,15.07,0.67,41.13,-2.83,1058.23,388,35,467,69,0,0
4327.50,"113","1130","5",NA,7.0,"0",39.15,7306.25,8.24,12.37,0.59,41.13,-3.44,1612.93,648,0,43,0,0,0
5429.13,"114","1140","3",NA,13.4,"0",22.41,9493.69,6.15,14.17,0.64,41.14,-3.11,1326.39,729,0,138,0,0,0
3333.94,"115","1150","6",NA,20.6,"0",14.56,6594.11,2.31,10.58,0.53,41.15,-2.59,1160.94,0,450,20,65,0,1
3482.69,"30","300","1",NA,6.4,"0",30.50,6618.07,9.57,10.86,0.54,41.15,-3.18,1335.81,526,0,24,0,0,0
3463.88,"117","1170","4",NA,7.2,"0",14.90,6604.47,2.91,10.82,0.54,41.16,-2.68,1034.84,0,201,1,349,1,0
1756.06,"112","1120","5",NA,2.8,"0",43.41,6702.69,12.61,7.20,0.41,41.15,-3.49,1690.80,269,0,14,0,0,1
2598.69,"111","1110","5",NA,4.2,"0",29.22,6975.92,9.08,9.11,0.48,41.14,-3.33,1388.32,393,0,19,0,0,0
1063.94,"39","390","4",NA,2.2,"0",16.78,3605.63,4.70,5.33,0.33,41.15,-2.75,988.77,0,62,21,88,0,0
1578.56,"109","1090","5",NA,2.5,"0",39.19,7192.34,11.15,6.75,0.39,41.14,-3.52,1684.53,241,0,7,0,0,2
4340.44,"27","270","3",NA,10.7,"0",24.23,10066.91,5.74,12.39,0.59,41.13,-3.01,1163.85,497,0,196,0,0,0
1594.31,"102","1020","3",NA,3.9,"0",22.44,8817.65,9.03,6.79,0.39,41.13,-3.07,1299.15,181,0,75,0,0,0
4019.38,"35","350","2",NA,12.0,"0",25.08,6474.44,4.76,11.83,0.57,41.13,-2.92,1110.82,594,0,46,2,0,0
3020.38,"108","1080","6",NA,18.7,"0",13.63,7490.13,2.74,9.97,0.51,41.13,-2.55,1120.69,0,238,0,235,0,8
5042.75,"107","1070","7",NA,30.1,"0",23.99,7381.25,6.72,13.56,0.62,41.11,-3.62,1482.34,780,0,11,0,0,10
1771.25,"106","1060","4",NA,3.7,"0",14.24,8734.07,2.99,7.24,0.41,41.13,-2.71,1016.01,0,101,6,177,0,0
